,activity_nr,X.x,reporting_id,state_flag,estab_name,site_address,site_city,site_state,site_zip,owner_type,owner_code,adv_notice,safety_hlth,sic_code,naics_code,insp_type,insp_scope,why_no_insp,union_status,safety_manuf,safety_const,safety_marit,health_manuf,health_const,health_marit,migrant,mail_street,mail_city,mail_state,mail_zip,host_est_key,nr_in_estab,open_date,case_mod_date,close_conf_date,close_case_date,ld_dt,year,X.y,citation_id,delete_flag,standard,viol_type,issuance_date,abate_date,abate_complete,current_penalty,initial_penalty,contest_date,final_order_date,nr_instances,nr_exposed,rec,gravity,emphasis,hazcat,fta_insp_nr,fta_issuance_date,fta_penalty,fta_contest_date,fta_final_order_date,hazsub1,hazsub2,hazsub3,hazsub4,hazsub5,load_dt
1,422725,1,950411,NA,MARICOPA COUNTY SHERIFFS OFFIC,3127 WEST DURANGO,Phoenix,AZ,85009,,0,,H,9223,0,B,B,,B,,,NA,,,,NA,,,,0,,104,3/2/1984,6/3/2016,3/2/1984,6/3/2016,2016-06-30 01:10:52 EDT,2016,24663,1001,,R4130631 A,O,3/19/1984,3/22/1984,,NA,NA,,,1,NA,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
2,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352982,1001,,800004 C01,S,7/9/1985,7/15/1985,N,180,180,,,2,1,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
3,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352983,1002,,800004 H03,S,7/9/1985,7/15/1985,N,60,60,,,1,1,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
4,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352984,2001,,600002 A03,O,7/9/1985,7/22/1985,N,NA,NA,,,1,1,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
5,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352985,2002,,630004 C04,O,7/9/1985,7/16/1985,N,NA,NA,,,1,1,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
6,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352986,2003,,630004 E03,O,7/9/1985,7/16/1985,N,NA,NA,,,2,2,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
7,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352987,2004,,640009 A,O,7/9/1985,7/22/1985,N,NA,NA,,,1,1,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
8,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352988,2005,,720002 B,O,7/9/1985,7/15/1985,N,NA,NA,,,1,1,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
9,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352989,2006,,780004 B4C,O,7/9/1985,7/15/1985,N,NA,NA,,,1,1,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
10,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352990,2007,,780004 B5I,O,7/9/1985,7/15/1985,N,NA,NA,,,3,1,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
11,2642767,2,951510,NA,OAHU COMMUNITY CORRECTIONAL CENTER DSSH,2199 KAMEHAMEHA HWY,HONOLULU,HI,96819,C,0,N,S,9223,0,H,A,,A,X,,NA,,,,NA,,,,0,,508,6/28/1985,6/3/2016,6/28/1985,4/1/2016,2016-06-30 01:10:52 EDT,2016,352991,2008,,810004 C3G,O,7/9/1985,7/16/1985,N,NA,NA,,,1,1,,NA,NA,,NA,,NA,NA,NA,,,NA,,NA,2016-06-30 01:11:27 EDT
